학구ID,학교ID,학교명,학교급구분,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,데이터기준일자,X,Y
Z000101544,B000003402,신탄진초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,237869.88573375583,427954.7831204987
Z000100149,B000002008,서울영림초등학교,초등학교,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2023-03-22,191380.53358827956,543098.7958501482
Z000100586,B000002469,서천초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2023-03-22,382743.1320328472,278761.34561755264
Z000100586,B000002469,서천초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2023-03-22,171948.3809365251,386803.60913089896
Z000100586,B000002469,서천초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2023-03-22,206384.58651869543,515989.332787201
Z000100933,B000002848,대구관천초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2023-03-22,340052.79105178,371450.04119571496
Z000150086,B000003352,산내초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,242178.6715999329,409116.7829015972
Z000150086,B000003352,산내초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,176778.80205972257,569255.6091402407
Z000150086,B000003352,산내초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,256912.64725622456,313831.9216330717
Z000150086,B000003352,산내초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,370447.8225500593,333747.82818687725
Z000101537,B000003352,산내초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,242178.6715999329,409116.7829015972
Z000101537,B000003352,산내초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,176778.80205972257,569255.6091402407
Z000101537,B000003352,산내초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,256912.64725622456,313831.9216330717
Z000101537,B000003352,산내초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,370447.8225500593,333747.82818687725
Z000100316,B000002125,서울평화초등학교,초등학교,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2023-03-22,210820.64651513187,543582.1138528035
Z000101512,B000003362,대전성남초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,238530.0755885972,416210.2194150602
Z000101462,B000003292,진남초등학교,초등학교,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2023-03-22,191114.15679353315,279182.6947722022
Z000101462,B000003292,진남초등학교,초등학교,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2023-03-22,328915.6174133869,249437.0473669836
Z000106072,B000008068,의귀초등학교,초등학교,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2023-03-22,173365.329072704,79745.7491467843
Z000100798,B000002721,기장초등학교,초등학교,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2023-03-22,401360.6712580254,296625.74291090254
Z000105708,B000007661,칠산초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2023-03-22,368639.8796203293,291927.19641978253
Z000151184,B000007938,북상초등학교,초등학교,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2023-03-22,273863.3304887086,353907.5876502687
Z000150792,B000007938,북상초등학교,초등학교,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2023-03-22,273863.3304887086,353907.5876502687
Z000105937,B000007938,북상초등학교,초등학교,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2023-03-22,273863.3304887086,353907.5876502687
Z000150791,B000007938,북상초등학교,초등학교,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2023-03-22,273863.3304887086,353907.5876502687
Z000100903,B000002754,대구아양초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2023-03-22,347848.9056386803,366749.2326321867
Z000100362,B000002213,서울양동초등학교,초등학교,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2023-03-22,186843.2039515251,547400.8692364382
Z000100769,B000002653,서감초등학교,초등학교,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2023-03-22,380625.6205524132,286344.3773141302
Z000150083,B000003396,대전대화초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,236887.32824770265,418381.3744307121
Z000101487,B000003396,대전대화초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2023-03-22,236887.32824770265,418381.3744307121
Z000101548,B000003430,가수원초등학교,초등학교,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2023-03-22,231731.000647407,411667.3361262444
Z000100032,B000001876,서울중화초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2023-03-22,208357.82668212365,555940.4601017452
Z000101614,B000003476,대전하기초등학교,초등학교,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2023-03-22,228847.41150243167,421206.7017256449
Z000100185,B000002058,서울상월초등학교,초등학교,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2023-03-22,205044.720034482,562095.9103470991
Z000100031,B000001868,서울중목초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2023-03-22,207006.90370892032,554493.7525776414
Z000106105,B000005742,연봉초등학교,초등학교,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2023-03-22,225266.7286916762,440657.0626261557
Z000106103,B000005745,연남초등학교,초등학교,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2023-03-22,224910.01914455087,438383.63584825787
Z000106100,B000005744,수왕초등학교,초등학교,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2023-03-22,222608.3547899239,438427.0024519514
Z000150975,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2023-03-22,385570.67572954623,317884.0013208924
Z000150976,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2023-03-22,385570.67572954623,317884.0013208924
Z000150974,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2023-03-22,385570.67572954623,317884.0013208924
Z000150972,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2023-03-22,385570.67572954623,317884.0013208924
Z000150973,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2023-03-22,385570.67572954623,317884.0013208924
Z000150592,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2023-03-22,385570.67572954623,317884.0013208924
Z000151211,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2023-03-22,385570.67572954623,317884.0013208924
Z000151210,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2023-03-22,385570.67572954623,317884.0013208924
Z000105845,B000007846,좌삼초등학교,초등학교,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2023-03-22,385570.67572954623,317884.0013208924
Z000105811,B000007805,유어초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2023-03-22,328008.48290560656,324467.6503531098
Z000151181,B000007805,유어초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2023-03-22,328008.48290560656,324467.6503531098
Z000151179,B000007805,유어초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2023-03-22,328008.48290560656,324467.6503531098
Z000150789,B000007805,유어초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2023-03-22,328008.48290560656,324467.6503531098
Z000150790,B000007805,유어초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2023-03-22,328008.48290560656,324467.6503531098
Z000100452,B000002310,서울동작초등학교,초등학교,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2023-03-22,197952.0028954727,543849.730917665
Z000100322,B000002198,서울갈산초등학교,초등학교,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2023-03-22,188506.29568085432,545815.432192042
Z000150020,B000002049,서울태랑초등학교,초등학교,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2023-03-22,208008.53254532407,558534.4334282645
Z000100221,B000002049,서울태랑초등학교,초등학교,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2023-03-22,208008.53254532407,558534.4334282645
Z000100223,B000002065,서울한천초등학교,초등학교,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2023-03-22,206082.09314351628,557842.1456194537
Z000100560,B000002467,괴정초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2023-03-22,382326.8237993347,280417.27034163696
Z000101561,B000003436,대전관저초등학교,초등학교,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2023-03-22,230520.68420544543,412080.4373673039
Z000106339,B000026788,대구국우초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2023-03-22,343057.6022227354,374301.8631702712
Z000105711,B000007725,무안초등학교,초등학교,9010000,경상남도교육청,9101000,경상남도밀양교육지원청,2023-03-22,349878.2229238489,320797.7831984528
Z000105711,B000007725,무안초등학교,초등학교,9010000,경상남도교육청,9101000,경상남도밀양교육지원청,2023-03-22,152224.64763742263,266244.3938951708
Z000151121,B000005015,맹방초등학교,초등학교,7800000,강원도교육청,7871000,강원도삼척교육지원청,2023-03-22,396006.2022984882,535551.34433217
Z000151119,B000005015,맹방초등학교,초등학교,7800000,강원도교육청,7871000,강원도삼척교육지원청,2023-03-22,396006.2022984882,535551.34433217
Z000151122,B000005015,맹방초등학교,초등학교,7800000,강원도교육청,7871000,강원도삼척교육지원청,2023-03-22,396006.2022984882,535551.34433217
Z000151120,B000005015,맹방초등학교,초등학교,7800000,강원도교육청,7871000,강원도삼척교육지원청,2023-03-22,396006.2022984882,535551.34433217
Z000103170,B000005015,맹방초등학교,초등학교,7800000,강원도교육청,7871000,강원도삼척교육지원청,2023-03-22,396006.2022984882,535551.34433217
Z000100415,B000002295,서울신구초등학교,초등학교,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2023-03-22,202146.08469564156,547078.0661200035
Z000105932,B000007934,거창초등학교,초등학교,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2023-03-22,282463.7399185337,343777.19977308623
Z000101453,B000003295,유안초등학교,초등학교,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2023-03-22,192203.062136433,281003.5858830548
Z000100015,B000001877,서울봉화초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2023-03-22,208138.06285009312,557084.6058267718
Z000150958,B000005687,서령초등학교,초등학교,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2023-03-22,150663.52777494784,460747.4877614571
Z000100365,B000002202,서울양원초등학교,초등학교,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2023-03-22,184399.3252289569,548808.8650386735
Z000100577,B000002433,보수초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2023-03-22,384561.9546818298,280719.526266884
Z000100973,B000002850,대구태전초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2023-03-22,339521.4767152622,371390.5390299388
Z000101652,B000003499,성안초등학교,초등학교,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2023-03-22,409586.402958645,333534.5166501938
Z000101652,B000003499,성안초등학교,초등학교,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2023-03-22,186992.96909316632,522872.1364966098
Z000103956,B000005840,합천초등학교,초등학교,8140000,충청남도교육청,8251000,충청남도청양교육지원청,2023-03-22,174379.07111331008,425292.3365379559
Z000103956,B000005840,합천초등학교,초등학교,8140000,충청남도교육청,8251000,충청남도청양교육지원청,2023-03-22,305483.7999382847,330430.8981128097
Z000100866,B000002773,대구동문초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2023-03-22,349188.2603562927,365415.2364959983
Z000103144,B000005003,상평초등학교현서분교장,초등학교,7800000,강원도교육청,7862000,강원도속초양양교육지원청,2023-03-22,334391.15996360884,599742.1473392497
Z000100837,B000025605,일광초등학교,초등학교,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2023-03-22,402277.8362858626,299100.5621417316
