아이디	geometry	관리번호	관할경찰서	구	동	시설명	시설구분	주소	Longitude	Latitude	X	Y
1676	MULTIPOINT(940171.377319983 1951156.86643105)	0	강서경찰서	강서구		공진초등학교병설유치원	유치원	서울특별시 강서구  마곡서로 33 (마곡동)	126.822611	37.557822	184326.3957	550936.4372
1677	MULTIPOINT(941481.739880848 1949806.32386183)	0	강서경찰서	강서구		윤희유치원	유치원	서울특별시 강서구 강서로 216-23	126.837554	37.54573377	185644.4007	549592.4004
1678	MULTIPOINT(942024.423450618 1948312.2431702)	0	강서경찰서	강서구		새화곡유치원	유치원	서울특별시 강서구 강서로15길 40 (화곡동)	126.843815	37.5323019	186195.219	548100.6881
1679	MULTIPOINT(941557.595955593 1948294.99871383)	0	강서경찰서	강서구		수미유치원	유치원	서울특별시 강서구 강서로17길 130 (화곡동)	126.838533	37.532117	185728.3214	548080.9548
1680	MULTIPOINT(941611.621488849 1949180.52713669)	0	강서경찰서	강서구		신월초등학교	초등학교	서울특별시 강서구 강서로31길 48 (화곡동)	126.839074	37.5401017	185777.6556	548967.0774
1681	MULTIPOINT(940908.781288464 1950319.2395906)	0	강서경찰서	강서구		발산초등학교	초등학교	서울특별시 강서구 강서로45길 113 (내발산동)	126.831027	37.5503201	185068.5142	550102.4449
1682	MULTIPOINT(941498.992001786 1950418.01195721)	0	강서경찰서	강서구		내발산초등학교	초등학교	서울특별시 강서구 강서로46길 23 (내발산동)	126.8377005	37.551248	185658.4036	550204.3917
1683	MULTIPOINT(940748.531735935 1950690.91428737)	0	강서경찰서	강서구		예일유치원	유치원	서울특별시 강서구 강서로47길 126	126.8291829	37.5536597	184906.2317	550473.3954
1684	MULTIPOINT(941732.49644434 1951612.0899309)	0	강서경찰서	강서구		상아어린이집	어린이집	서울특별시 강서구 강서로56가길 55 (등촌동)	126.840249	37.562025	185885.6348	551400.126
1685	MULTIPOINT(942124.368255292 1951917.55934563)	0	강서경찰서	강서구		등양초등학교	초등학교	서울특별시 강서구 강서로56나길 140 (등촌동)	126.8446617	37.5648029	186276.0168	551707.787
1686	MULTIPOINT(941933.45734167 1951463.12772551)	0	강서경찰서	강서구		등명초등학교	초등학교	서울특별시 강서구 강서로56나길 34 (등촌동)	126.8425361	37.5606951	186087.4582	551252.1817
1687	MULTIPOINT(942500.677218499 1948159.82758267)	0	강서경찰서	강서구		신영유치원	유치원	서울특별시 강서구 곰달래로25길 4 (화곡동)	126.849217	37.530958	186672.4488	547950.7524
1688	MULTIPOINT(942788.183530033 1948351.47365258)	0	강서경찰서	강서구		신정초등학교	초등학교	서울특별시 강서구 곰달래로31가길 27 (화곡동)	126.8524559	37.5327032	186959.0358	548143.9942
1689	MULTIPOINT(943042.460793172 1948618.7257749)	0	강서경찰서	강서구		우일유치원	유치원	서울특별시 강서구 곰달래로47길 88 (화곡동)	126.855313	37.5351277	187211.9801	548412.6917
1690	MULTIPOINT(943282.901184262 1948286.37148342)	0	강서경찰서	강서구		새싹유치원	유치원	서울특별시 강서구 곰달래로49길 10 (화곡동)	126.85806	37.532147	187454.2718	548081.5005
1691	MULTIPOINT(943470.688337684 1948446.19149112)	0	강서경찰서	강서구		으뜸어린이집	어린이집	서울특별시 강서구 곰달래로53길 30-20 (화곡동)	126.860173	37.533599	187641.2744	548242.3749
1692	MULTIPOINT(943595.992454039 1948487.50099039)	0	강서경찰서	강서구		대유유치원	유치원	서울특별시 강서구 곰달래로57길 39 (화곡동)	126.861588	37.533979	187766.4025	548284.3653
1693	MULTIPOINT(943664.184175345 1950649.4607859)	0	강서경찰서	강서구		백석초등학교	초등학교	서울특별시 강서구 공항대로 491 (등촌동)	126.8621938	37.553469	187823.1168	550447.4417
1694	MULTIPOINT(941361.274072272 1950913.78134018)	0	강서경찰서	강서구		가곡초등학교	초등학교	서울특별시 강서구 공항대로36길 74 (내발산동)	126.8361018	37.5557076	185517.9974	550699.5996
1695	MULTIPOINT(942288.848532873 1951665.23183678)	0	강서경찰서	강서구		보라유치원	유치원	"서울특별시 강서구 공항대로39길 100 (등촌동, 대림아파트)"	126.8465439	37.562539	186441.8971	551456.2473
1696	MULTIPOINT(939152.621182712 1951712.02914543)	0	강서경찰서	강서구		송정초등학교	초등학교	서울특별시 강서구 공항대로3길 18 (공항동)	126.8110312	37.5627589	183304.3371	551486.3694
1697	MULTIPOINT(943560.967635316 1950312.87213142)	0	강서경찰서	강서구		미도유치원	유치원	서울특별시 강서구 공항대로58가길 39 (등촌동)	126.8610512	37.550429	187721.6552	550110.1865
1698	MULTIPOINT(939150.708080446 1953668.14974137)	0	강서경찰서	강서구		삼정초등학교	초등학교	서울특별시 강서구 금낭화로 222 (방화동)	126.8108471	37.5803891	183292.0106	553443.1523
1699	MULTIPOINT(939069.886055697 1952451.36528248)	0	강서경찰서	강서구		이레어린이집	어린이집	서울특별시 강서구 금낭화로11길 48 (방화동)	126.810033	37.569417	183217.6384	552225.5194
1700	MULTIPOINT(938923.446005147 1952653.37604923)	0	강서경찰서	강서구		서강유치원	유치원	서울특별시 강서구 금낭화로13길 47-9 (방화동)	126.808358	37.571228	183070.0727	552426.82
1701	MULTIPOINT(942586.519191666 1950069.73581191)	0	강서경찰서	강서구		강서유치원	유치원	서울특별시 강서구 까치산로 116 (화곡동)	126.8500391	37.5481774	186748.1612	549861.781
1702	MULTIPOINT(942353.117468425 1949204.02900343)	0	강서경찰서	강서구		화일초등학교	초등학교	서울특별시 강서구 까치산로10길 70 (화곡동)	126.847465	37.5403602	186519.2838	548994.5318
