학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,X,Y
B000008405,남서울중학교,중학교,1964-11-12,공립,본교,운영,서울특별시 관악구 신림동 1690-3,서울특별시 관악구 남부순환로172길 97,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2024-11-08,37.4817951,126.9214593,2025-03-21,193053.31741422153,542486.5159580983
B000008365,봉은중학교,중학교,1986-03-01,공립,본교,운영,서울특별시 강남구 삼성동 82-7,서울특별시 강남구 영동대로128길 59,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2024-11-08,37.51910487,127.0627595,2025-03-21,205548.12273642028,546626.3704159055
B000003396,대전대화초등학교,초등학교,1982-11-25,공립,본교,운영,대전광역시 대덕구 대화동 244-5,대전광역시 대덕구 대화로 242-36,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2024-11-08,36.36281021,127.4110049,2025-03-21,236887.32824770265,418381.3744307121
B000023141,도담고등학교,고등학교,2013-03-01,공립,본교,운영,세종특별자치시 도담동 642,세종특별자치시 보듬4로 41,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2024-11-08,36.51387216,127.2639169,2025-03-21,223640.4117671424,435098.24168869446
B000003430,가수원초등학교,초등학교,1946-10-26,공립,본교,운영,대전광역시 서구 가수원동 732-3,대전광역시 서구 벌곡로 1359,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2024-11-08,36.30248937,127.35328,2025-03-21,231731.000647407,411667.3361262444
B000001876,서울중화초등학교,초등학교,1946-11-07,공립,본교,운영,서울특별시 중랑구 신내동 531,서울특별시 중랑구 신내로7가길 22,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2024-11-08,37.60300324,127.0946485,2025-03-21,208357.82668212365,555940.4601017452
B000008924,금호중앙중학교,중학교,1959-12-26,사립,본교,운영,광주광역시 북구 운암동 140,광주광역시 북구 금호로 100,7380000,광주광역시교육청,7391000,광주광역시동부교육지원청,2013-11-29,2024-11-08,35.17779883,126.8852718,2025-03-21,189549.37543583976,286826.3044940072
B000011103,월산중학교,중학교,2001-03-01,공립,본교,운영,경상남도 김해시 부곡동 806-10,경상남도 김해시 월산로 104,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2024-11-08,35.20485642,128.8031292,2025-03-21,364202.2396522851,291311.99134761817
B000003476,대전하기초등학교,초등학교,2005-03-01,공립,본교,운영,대전광역시 유성구 하기동 514,대전광역시 유성구 송림로19번길 32,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2024-11-08,36.38854558,127.321529,2025-03-21,228847.41150243167,421206.7017256449
B000002058,서울상월초등학교,초등학교,1990-03-01,공립,본교,운영,서울특별시 노원구 상계동 697,서울특별시 노원구 동일로221길 27,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-11-08,37.65848709,127.0571716,2025-03-21,205044.72003448202,562095.9103470991
B000008184,선유중학교,중학교,1985-03-05,공립,본교,운영,서울특별시 영등포구 양평동3가 82,서울특별시 영등포구 선유로 213,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-11-08,37.53284324,126.8943293,2025-03-21,190660.11416208494,548154.5545797304
